region 1, region 2, terrain
adr,alb,sea
adr,apu,sea
adr,ion,sea
adr,tri,sea
adr,ven,sea
aeg,bul(sc),sea
aeg,con,sea
aeg,eas,sea
aeg,gre,sea
aeg,ion,sea
aeg,smy,sea
alb,gre,coast
alb,ion,sea
alb,tri,coast
ank,arm,coast
ank,bla,sea
ank,con,coast
ank,smy,land
apu,nap,coast
apu,rom,land
apu,ven,coast
arm,bla,sea
arm,sev,coast
arm,smy,land
arm,syr,land
bal,ber,sea
bal,bot,sea
bal,den,sea
bal,kie,sea
bal,lvn,sea
bal,pru,sea
bal,swe,sea
bar,nwg,sea
bar,nwy,sea
bar,stp(nc),sea
bel,bur,land
bel,eng,sea
bel,hol,coast
bel,nth,sea
bel,pic,coast
bel,ruh,land
ber,kie,coast
ber,mun,land
ber,pru,coast
ber,sil,land
bla,sev,sea
bla,bul(ec),sea
bla,con,sea
bla,rum,sea
bre,eng,sea
bre,mao,sea
bre,gas,coast
bre,par,land
bre,pic,coast
boh,gal,land
boh,mun,land
boh,sil,land
boh,tyr,land
boh,vie,land
bul,con,land
bul(ec),con,sea
bul(sc),con,sea
con,smy,land
eng,lon,sea
eng,nth,sea
gol,spa(sc),sea
gre,ion,sea
ion,tun,sea
iri,eng,sea
iri,lvp,sea
iri,mao,sea
iri,nao,sea
iri,wal,sea
lon,nth,sea
mao,nao,sea
mun,sil,land
mun,tyr,land
nth,nwg,sea
nth,nwy,sea
nth,ska,sea
nwg,nwy,sea
nwy,ska,sea
ska,swe,sea
sil,war,land
tri,tyr,land
tri,ven,coast
tyr,ven,land
tyr,vie,land
